paisresidencia,genero,rangoedad,cantidad,transporte,parking,parkingrelpreciocal,dispcarritos,checkintiempespera,checkineficiencia,checkincortesia,ctrlpastiempoespera,ctrlpascortesia,segcortesia,segmeticulosidad,segtiempoespera,segsensacionprot,orientsenalizacion,orientpantallainfo,oientdistancia,orientfacilidconexion,instalcortesia,instalrestaurant,instalrestaurantrelpreciocal,instaldispbancoatm,instaltiendas,instaltiendasrelpreciocal,instalinternetwifi,instalsalasvip,instalbanosdisp,instalbanoslimpieza,instalcomodidadzonaespera,installimpiezageneral,instalambiente,satisfacciongeneral,controlpasaportes,rapidesentregaequipaje,controladuanero
No informado,Femenino,45 a 54,36,3.167,0.667,0.611,2.083,3.583,3.806,3.500,2.389,2.472,3.944,3.889,4.222,4.139,4.111,4.111,3.806,0.167,3.528,2.639,2.528,1.917,2.667,2.500,2.556,1.306,3.639,3.333,3.611,4.194,3.722,4.222,2.444,2.611,2.417
No informado,Femenino,55 a 64,49,2.918,0.878,0.714,2.020,3.633,3.551,3.408,1.837,1.918,3.388,3.694,3.347,3.592,4.082,3.857,3.837,0.102,3.224,3.041,2.714,1.918,2.388,2.245,2.184,1.367,3.469,3.449,3.449,3.714,3.531,3.796,1.653,2.592,1.918
No informado,Femenino,65 a 75,29,2.448,0.207,0.207,2.345,3.552,3.828,3.690,2.379,2.345,3.759,3.414,3.759,3.690,3.966,3.483,3.552,0.138,3.552,2.897,2.759,2.000,2.483,2.069,2.310,1.621,3.517,2.931,3.345,3.793,3.759,3.690,2.483,2.828,1.759
No informado,Femenino,76 o mas,6,2.167,2.167,2.333,2.167,2.333,3.500,3.000,2.000,2.500,3.167,3.500,3.667,2.833,3.667,4.333,3.333,0.000,3.500,3.500,3.000,1.167,2.667,2.167,2.667,1.500,4.000,4.000,3.333,3.500,3.667,3.833,2.000,2.667,0.833
No informado,Masculino, ,7,2.286,0.571,0.571,2.571,3.571,3.000,2.571,3.143,3.143,4.286,4.286,4.429,4.286,3.429,3.286,3.714,0.571,4.286,3.286,3.286,4.000,3.429,2.714,3.286,2.714,4.000,4.429,4.571,4.429,4.429,3.286,3.571,3.571,3.571
No informado,Masculino,16 a 21,100,2.410,1.280,1.060,2.570,3.370,3.490,3.290,2.760,2.560,3.630,4.090,3.940,3.980,3.820,3.890,3.810,0.720,3.350,2.990,2.760,2.570,2.830,2.340,2.760,2.310,3.610,3.470,3.680,4.100,3.880,4.110,2.610,2.690,2.120
No informado,Masculino,22 a 25,77,3.013,1.117,1.182,3.688,4.026,3.948,3.909,3.247,3.143,4.078,4.117,3.961,4.143,4.247,4.091,3.974,0.675,4.104,3.701,3.519,3.000,3.455,3.247,3.584,2.896,3.857,3.753,4.169,4.312,3.961,4.156,2.727,3.234,2.597
No informado,Masculino,26 a 34,75,3.573,1.027,1.013,3.293,4.053,4.187,4.160,3.093,3.160,3.840,3.920,3.813,4.040,4.280,4.187,4.147,0.000,3.987,3.533,3.240,3.360,3.333,3.280,3.120,2.573,3.933,3.933,4.027,4.147,4.093,4.400,3.147,3.347,2.613
No informado,Masculino,35 a 44,334,0.464,0.165,0.144,1.811,2.431,2.425,2.548,2.515,2.545,3.479,3.506,3.476,3.823,4.117,4.039,3.967,3.278,3.757,3.219,2.692,2.072,2.728,2.305,2.901,1.234,3.713,3.793,3.754,4.207,4.054,4.105,2.249,2.108,2.063
No informado,Masculino,45 a 54,91,2.604,0.934,0.813,2.264,3.396,3.319,3.242,2.088,1.912,3.747,3.593,3.692,3.857,3.956,3.989,3.989,0.747,3.714,3.000,2.714,1.945,2.626,2.088,2.571,1.560,3.516,3.505,3.659,3.769,3.648,3.890,1.571,2.143,1.407
No informado,Masculino,55 a 64,67,2.836,0.746,0.687,2.313,3.731,3.612,3.537,2.254,2.224,3.821,4.045,3.925,4.104,4.239,4.179,4.149,0.209,3.776,3.149,2.970,2.179,2.493,2.194,3.418,1.507,4.104,3.761,3.716,3.925,3.851,3.657,2.000,2.448,1.836
No informado,Masculino,65 a 75,50,2.480,0.520,0.540,2.100,3.440,3.760,3.880,2.200,2.160,3.760,4.100,3.860,3.660,3.940,4.140,3.840,0.180,3.360,2.880,2.540,2.260,2.460,2.380,2.220,1.380,3.280,3.520,3.540,3.640,3.900,3.840,2.060,2.680,1.680
No informado,Masculino,76 o mas,7,1.571,0.000,0.000,2.571,3.000,3.286,3.143,1.143,1.857,2.714,3.429,3.286,3.286,4.000,3.857,2.857,0.000,3.286,3.000,2.429,1.000,2.143,1.286,2.429,1.714,3.857,3.143,2.857,3.571,2.286,3.286,2.429,1.714,1.857
